,State,Abbreviation,Year,variable,value
95,Arizona,AZ,1976,Annual Change (%),3.66
96,Arizona,AZ,1977,Annual Change (%),8.26
97,Arizona,AZ,1978,Annual Change (%),15.26
98,Arizona,AZ,1979,Annual Change (%),22.36
99,Arizona,AZ,1980,Annual Change (%),11.67
100,Arizona,AZ,1981,Annual Change (%),7.99
101,Arizona,AZ,1982,Annual Change (%),-4.76
102,Arizona,AZ,1983,Annual Change (%),10.27
103,Arizona,AZ,1984,Annual Change (%),4.37
104,Arizona,AZ,1985,Annual Change (%),3.46
105,Arizona,AZ,1986,Annual Change (%),5.38
106,Arizona,AZ,1987,Annual Change (%),1.02
107,Arizona,AZ,1988,Annual Change (%),-0.90
108,Arizona,AZ,1989,Annual Change (%),-0.50
109,Arizona,AZ,1990,Annual Change (%),-0.37
110,Arizona,AZ,1991,Annual Change (%),2.14
111,Arizona,AZ,1992,Annual Change (%),2.17
112,Arizona,AZ,1993,Annual Change (%),1.97
113,Arizona,AZ,1994,Annual Change (%),4.70
114,Arizona,AZ,1995,Annual Change (%),6.60
115,Arizona,AZ,1996,Annual Change (%),4.12
116,Arizona,AZ,1997,Annual Change (%),4.16
117,Arizona,AZ,1998,Annual Change (%),4.46
118,Arizona,AZ,1999,Annual Change (%),4.10
119,Arizona,AZ,2000,Annual Change (%),6.91
120,Arizona,AZ,2001,Annual Change (%),6.11
121,Arizona,AZ,2002,Annual Change (%),5.06
122,Arizona,AZ,2003,Annual Change (%),4.04
123,Arizona,AZ,2004,Annual Change (%),11.45
124,Arizona,AZ,2005,Annual Change (%),30.08
125,Arizona,AZ,2006,Annual Change (%),17.73
126,Arizona,AZ,2007,Annual Change (%),-0.64
127,Arizona,AZ,2008,Annual Change (%),-12.06
128,Arizona,AZ,2009,Annual Change (%),-18.55
129,Arizona,AZ,2010,Annual Change (%),-13.11
130,Arizona,AZ,2011,Annual Change (%),-10.15
131,Arizona,AZ,2012,Annual Change (%),4.28
132,Arizona,AZ,2013,Annual Change (%),11.84
133,Arizona,AZ,2014,Annual Change (%),10.09
134,Arizona,AZ,2015,Annual Change (%),5.55
135,Arizona,AZ,2016,Annual Change (%),7.01
136,Arizona,AZ,2017,Annual Change (%),7.38
137,Arizona,AZ,2018,Annual Change (%),7.72
138,Arizona,AZ,2019,Annual Change (%),6.84
139,Arizona,AZ,2020,Annual Change (%),6.48
140,Arizona,AZ,2021,Annual Change (%),18.41
141,Arkansas,AR,1975,Annual Change (%),.
142,Arkansas,AR,1976,Annual Change (%),9.98
143,Arkansas,AR,1977,Annual Change (%),11.48
144,Arkansas,AR,1978,Annual Change (%),8.48
145,Arkansas,AR,1979,Annual Change (%),14.99
146,Arkansas,AR,1980,Annual Change (%),7.25
147,Arkansas,AR,1981,Annual Change (%),4.53
148,Arkansas,AR,1982,Annual Change (%),0.09
149,Arkansas,AR,1983,Annual Change (%),8.51
150,Arkansas,AR,1984,Annual Change (%),2.63
151,Arkansas,AR,1985,Annual Change (%),1.50
152,Arkansas,AR,1986,Annual Change (%),3.27
153,Arkansas,AR,1987,Annual Change (%),0.69
154,Arkansas,AR,1988,Annual Change (%),-1.02
155,Arkansas,AR,1989,Annual Change (%),0.21
156,Arkansas,AR,1990,Annual Change (%),0.90
157,Arkansas,AR,1991,Annual Change (%),1.87
158,Arkansas,AR,1992,Annual Change (%),2.45
159,Arkansas,AR,1993,Annual Change (%),3.91
160,Arkansas,AR,1994,Annual Change (%),5.02
161,Arkansas,AR,1995,Annual Change (%),5.33
162,Arkansas,AR,1996,Annual Change (%),2.87
163,Arkansas,AR,1997,Annual Change (%),2.75
164,Arkansas,AR,1998,Annual Change (%),2.95
165,Arkansas,AR,1999,Annual Change (%),2.20
166,Arkansas,AR,2000,Annual Change (%),2.90
167,Arkansas,AR,2001,Annual Change (%),4.55
168,Arkansas,AR,2002,Annual Change (%),2.66
169,Arkansas,AR,2003,Annual Change (%),2.60
170,Arkansas,AR,2004,Annual Change (%),5.50
171,Arkansas,AR,2005,Annual Change (%),7.04
172,Arkansas,AR,2006,Annual Change (%),5.85
173,Arkansas,AR,2007,Annual Change (%),2.42
174,Arkansas,AR,2008,Annual Change (%),-0.46
175,Arkansas,AR,2009,Annual Change (%),-2.02
176,Arkansas,AR,2010,Annual Change (%),-2.85
177,Arkansas,AR,2011,Annual Change (%),-1.72
178,Arkansas,AR,2012,Annual Change (%),-0.12
179,Arkansas,AR,2013,Annual Change (%),1.19
180,Arkansas,AR,2014,Annual Change (%),1.43
181,Arkansas,AR,2015,Annual Change (%),2.29
182,Arkansas,AR,2016,Annual Change (%),2.37
183,Arkansas,AR,2017,Annual Change (%),3.60
184,Arkansas,AR,2018,Annual Change (%),4.00
185,Arkansas,AR,2019,Annual Change (%),3.26
186,Arkansas,AR,2020,Annual Change (%),2.54
187,Arkansas,AR,2021,Annual Change (%),10.85
188,California,CA,1975,Annual Change (%),.
189,California,CA,1976,Annual Change (%),14.22
190,California,CA,1977,Annual Change (%),21.58
191,California,CA,1978,Annual Change (%),17.54
192,California,CA,1979,Annual Change (%),15.94
193,California,CA,1980,Annual Change (%),15.98
194,California,CA,1981,Annual Change (%),10.14
195,California,CA,1982,Annual Change (%),-3.08
196,California,CA,1983,Annual Change (%),5.77
197,California,CA,1984,Annual Change (%),2.95
198,California,CA,1985,Annual Change (%),5.46
199,California,CA,1986,Annual Change (%),6.03
200,California,CA,1987,Annual Change (%),8.36
201,California,CA,1988,Annual Change (%),16.42
202,California,CA,1989,Annual Change (%),22.10
203,California,CA,1990,Annual Change (%),6.55
204,California,CA,1991,Annual Change (%),-0.40
205,California,CA,1992,Annual Change (%),-1.65
206,California,CA,1993,Annual Change (%),-5.07
207,California,CA,1994,Annual Change (%),-3.09
208,California,CA,1995,Annual Change (%),-2.53
209,California,CA,1996,Annual Change (%),-0.08
210,California,CA,1997,Annual Change (%),2.75
211,California,CA,1998,Annual Change (%),8.10
212,California,CA,1999,Annual Change (%),6.78
213,California,CA,2000,Annual Change (%),13.90
214,California,CA,2001,Annual Change (%),11.76
215,California,CA,2002,Annual Change (%),10.43
216,California,CA,2003,Annual Change (%),9.53
217,California,CA,2004,Annual Change (%),19.42
218,California,CA,2005,Annual Change (%),24.71
219,California,CA,2006,Annual Change (%),10.35
220,California,CA,2007,Annual Change (%),-3.93
221,California,CA,2008,Annual Change (%),-19.31
222,California,CA,2009,Annual Change (%),-15.04
223,California,CA,2010,Annual Change (%),-3.19
224,California,CA,2011,Annual Change (%),-5.66
225,California,CA,2012,Annual Change (%),-0.13
226,California,CA,2013,Annual Change (%),10.42
227,California,CA,2014,Annual Change (%),13.80
228,California,CA,2015,Annual Change (%),5.76
229,California,CA,2016,Annual Change (%),7.80
230,California,CA,2017,Annual Change (%),6.42
231,California,CA,2018,Annual Change (%),6.41
232,California,CA,2019,Annual Change (%),3.30
233,California,CA,2020,Annual Change (%),2.36
234,California,CA,2021,Annual Change (%),12.61
235,Colorado,CO,1975,Annual Change (%),.
236,Colorado,CO,1976,Annual Change (%),8.73
237,Colorado,CO,1977,Annual Change (%),13.89
238,Colorado,CO,1978,Annual Change (%),17.58
239,Colorado,CO,1979,Annual Change (%),17.08
240,Colorado,CO,1980,Annual Change (%),9.27
241,Colorado,CO,1981,Annual Change (%),7.04
242,Colorado,CO,1982,Annual Change (%),11.84
243,Colorado,CO,1983,Annual Change (%),1.99
244,Colorado,CO,1984,Annual Change (%),0.19
245,Colorado,CO,1985,Annual Change (%),0.30
246,Colorado,CO,1986,Annual Change (%),1.54
247,Colorado,CO,1987,Annual Change (%),-1.07
248,Colorado,CO,1988,Annual Change (%),-2.18
249,Colorado,CO,1989,Annual Change (%),0.89
250,Colorado,CO,1990,Annual Change (%),2.32
251,Colorado,CO,1991,Annual Change (%),3.33
252,Colorado,CO,1992,Annual Change (%),5.64
253,Colorado,CO,1993,Annual Change (%),8.55
254,Colorado,CO,1994,Annual Change (%),9.94
255,Colorado,CO,1995,Annual Change (%),9.02
256,Colorado,CO,1996,Annual Change (%),4.76
257,Colorado,CO,1997,Annual Change (%),5.37
258,Colorado,CO,1998,Annual Change (%),4.77
259,Colorado,CO,1999,Annual Change (%),7.41
260,Colorado,CO,2000,Annual Change (%),13.06
261,Colorado,CO,2001,Annual Change (%),8.13
262,Colorado,CO,2002,Annual Change (%),4.20
263,Colorado,CO,2003,Annual Change (%),0.89
264,Colorado,CO,2004,Annual Change (%),2.96
265,Colorado,CO,2005,Annual Change (%),4.95
266,Colorado,CO,2006,Annual Change (%),3.38
267,Colorado,CO,2007,Annual Change (%),0.80
268,Colorado,CO,2008,Annual Change (%),-1.10
269,Colorado,CO,2009,Annual Change (%),-1.64
270,Colorado,CO,2010,Annual Change (%),-4.09
271,Colorado,CO,2011,Annual Change (%),-3.13
272,Colorado,CO,2012,Annual Change (%),0.74
273,Colorado,CO,2013,Annual Change (%),5.32
274,Colorado,CO,2014,Annual Change (%),9.13
275,Colorado,CO,2015,Annual Change (%),9.42
276,Colorado,CO,2016,Annual Change (%),10.29
277,Colorado,CO,2017,Annual Change (%),8.68
278,Colorado,CO,2018,Annual Change (%),8.14
279,Colorado,CO,2019,Annual Change (%),4.72
280,Colorado,CO,2020,Annual Change (%),2.69
281,Colorado,CO,2021,Annual Change (%),12.87
282,Connecticut,CT,1975,Annual Change (%),.
283,Connecticut,CT,1976,Annual Change (%),6.17
284,Connecticut,CT,1977,Annual Change (%),5.30
285,Connecticut,CT,1978,Annual Change (%),17.53
286,Connecticut,CT,1979,Annual Change (%),19.37
287,Connecticut,CT,1980,Annual Change (%),6.66
288,Connecticut,CT,1981,Annual Change (%),8.07
289,Connecticut,CT,1982,Annual Change (%),3.83
290,Connecticut,CT,1983,Annual Change (%),7.44
291,Connecticut,CT,1984,Annual Change (%),12.73
292,Connecticut,CT,1985,Annual Change (%),13.39
293,Connecticut,CT,1986,Annual Change (%),18.16
294,Connecticut,CT,1987,Annual Change (%),21.14
295,Connecticut,CT,1988,Annual Change (%),11.47
296,Connecticut,CT,1989,Annual Change (%),-1.15
297,Connecticut,CT,1990,Annual Change (%),-4.94
298,Connecticut,CT,1991,Annual Change (%),-5.56
299,Connecticut,CT,1992,Annual Change (%),-1.67
300,Connecticut,CT,1993,Annual Change (%),-2.82
301,Connecticut,CT,1994,Annual Change (%),-2.02
302,Connecticut,CT,1995,Annual Change (%),-0.75
303,Connecticut,CT,1996,Annual Change (%),1.13
304,Connecticut,CT,1997,Annual Change (%),1.09
305,Connecticut,CT,1998,Annual Change (%),4.24
306,Connecticut,CT,1999,Annual Change (%),4.88
307,Connecticut,CT,2000,Annual Change (%),9.27
308,Connecticut,CT,2001,Annual Change (%),7.74
309,Connecticut,CT,2002,Annual Change (%),8.44
310,Connecticut,CT,2003,Annual Change (%),6.12
311,Connecticut,CT,2004,Annual Change (%),11.05
312,Connecticut,CT,2005,Annual Change (%),12.37
313,Connecticut,CT,2006,Annual Change (%),5.80
314,Connecticut,CT,2007,Annual Change (%),0.09
315,Connecticut,CT,2008,Annual Change (%),-3.60
316,Connecticut,CT,2009,Annual Change (%),-7.15
317,Connecticut,CT,2010,Annual Change (%),-4.04
318,Connecticut,CT,2011,Annual Change (%),-3.59
319,Connecticut,CT,2012,Annual Change (%),-2.96
320,Connecticut,CT,2013,Annual Change (%),-0.76
321,Connecticut,CT,2014,Annual Change (%),0.02
322,Connecticut,CT,2015,Annual Change (%),1.34
323,Connecticut,CT,2016,Annual Change (%),0.12
324,Connecticut,CT,2017,Annual Change (%),1.14
325,Connecticut,CT,2018,Annual Change (%),1.61
326,Connecticut,CT,2019,Annual Change (%),2.15
327,Connecticut,CT,2020,Annual Change (%),2.92
328,Connecticut,CT,2021,Annual Change (%),11.80
329,Delaware,DE,1975,Annual Change (%),.
330,Delaware,DE,1976,Annual Change (%),4.42
331,Delaware,DE,1977,Annual Change (%),-2.99
332,Delaware,DE,1978,Annual Change (%),7.20
333,Delaware,DE,1979,Annual Change (%),6.21
334,Delaware,DE,1980,Annual Change (%),15.93
335,Delaware,DE,1981,Annual Change (%),8.49
336,Delaware,DE,1982,Annual Change (%),2.45
337,Delaware,DE,1983,Annual Change (%),4.64
338,Delaware,DE,1984,Annual Change (%),9.11
339,Delaware,DE,1985,Annual Change (%),7.34
340,Delaware,DE,1986,Annual Change (%),9.75
341,Delaware,DE,1987,Annual Change (%),11.12
342,Delaware,DE,1988,Annual Change (%),12.35
343,Delaware,DE,1989,Annual Change (%),9.60
344,Delaware,DE,1990,Annual Change (%),2.60
345,Delaware,DE,1991,Annual Change (%),1.32
346,Delaware,DE,1992,Annual Change (%),0.43
347,Delaware,DE,1993,Annual Change (%),-0.33
348,Delaware,DE,1994,Annual Change (%),-1.20
349,Delaware,DE,1995,Annual Change (%),0.04
350,Delaware,DE,1996,Annual Change (%),1.70
351,Delaware,DE,1997,Annual Change (%),1.34
352,Delaware,DE,1998,Annual Change (%),2.62
353,Delaware,DE,1999,Annual Change (%),3.48
354,Delaware,DE,2000,Annual Change (%),6.30
355,Delaware,DE,2001,Annual Change (%),6.94
356,Delaware,DE,2002,Annual Change (%),6.95
357,Delaware,DE,2003,Annual Change (%),6.49
358,Delaware,DE,2004,Annual Change (%),12.86
359,Delaware,DE,2005,Annual Change (%),15.81
360,Delaware,DE,2006,Annual Change (%),8.82
361,Delaware,DE,2007,Annual Change (%),2.67
362,Delaware,DE,2008,Annual Change (%),-2.96
363,Delaware,DE,2009,Annual Change (%),-6.60
364,Delaware,DE,2010,Annual Change (%),-4.72
365,Delaware,DE,2011,Annual Change (%),-5.52
366,Delaware,DE,2012,Annual Change (%),-2.93
367,Delaware,DE,2013,Annual Change (%),0.81
368,Delaware,DE,2014,Annual Change (%),2.37
369,Delaware,DE,2015,Annual Change (%),2.39
370,Delaware,DE,2016,Annual Change (%),1.93
371,Delaware,DE,2017,Annual Change (%),2.05
372,Delaware,DE,2018,Annual Change (%),3.95
373,Delaware,DE,2019,Annual Change (%),3.25
374,Delaware,DE,2020,Annual Change (%),3.28
375,Delaware,DE,2021,Annual Change (%),10.63
376,District of Columbia,DC,1975,Annual Change (%),.
377,District of Columbia,DC,1976,Annual Change (%),10.56
378,District of Columbia,DC,1977,Annual Change (%),12.75
379,District of Columbia,DC,1978,Annual Change (%),15.52
380,District of Columbia,DC,1979,Annual Change (%),17.99
381,District of Columbia,DC,1980,Annual Change (%),7.10
382,District of Columbia,DC,1981,Annual Change (%),-1.76
383,District of Columbia,DC,1982,Annual Change (%),-5.81
384,District of Columbia,DC,1983,Annual Change (%),9.12
385,District of Columbia,DC,1984,Annual Change (%),6.88
386,District of Columbia,DC,1985,Annual Change (%),5.40
387,District of Columbia,DC,1986,Annual Change (%),8.18
388,District of Columbia,DC,1987,Annual Change (%),11.18
389,District of Columbia,DC,1988,Annual Change (%),18.23
390,District of Columbia,DC,1989,Annual Change (%),12.28
391,District of Columbia,DC,1990,Annual Change (%),3.70
392,District of Columbia,DC,1991,Annual Change (%),0.32
393,District of Columbia,DC,1992,Annual Change (%),2.14
394,District of Columbia,DC,1993,Annual Change (%),-1.49
395,District of Columbia,DC,1994,Annual Change (%),-0.69
396,District of Columbia,DC,1995,Annual Change (%),-1.35
397,District of Columbia,DC,1996,Annual Change (%),2.22
398,District of Columbia,DC,1997,Annual Change (%),0.08
399,District of Columbia,DC,1998,Annual Change (%),4.73
400,District of Columbia,DC,1999,Annual Change (%),7.43
401,District of Columbia,DC,2000,Annual Change (%),14.48
402,District of Columbia,DC,2001,Annual Change (%),14.11
403,District of Columbia,DC,2002,Annual Change (%),12.79
404,District of Columbia,DC,2003,Annual Change (%),9.47
405,District of Columbia,DC,2004,Annual Change (%),16.45
406,District of Columbia,DC,2005,Annual Change (%),22.78
407,District of Columbia,DC,2006,Annual Change (%),11.55
408,District of Columbia,DC,2007,Annual Change (%),2.79
409,District of Columbia,DC,2008,Annual Change (%),-4.94
410,District of Columbia,DC,2009,Annual Change (%),-5.22
411,District of Columbia,DC,2010,Annual Change (%),0.10
412,District of Columbia,DC,2011,Annual Change (%),0.97
413,District of Columbia,DC,2012,Annual Change (%),3.07
414,District of Columbia,DC,2013,Annual Change (%),6.78
415,District of Columbia,DC,2014,Annual Change (%),8.95
416,District of Columbia,DC,2015,Annual Change (%),5.93
417,District of Columbia,DC,2016,Annual Change (%),6.54
418,District of Columbia,DC,2017,Annual Change (%),5.01
419,District of Columbia,DC,2018,Annual Change (%),4.88
420,District of Columbia,DC,2019,Annual Change (%),3.76
421,District of Columbia,DC,2020,Annual Change (%),2.07
422,District of Columbia,DC,2021,Annual Change (%),6.79
423,Florida,FL,1975,Annual Change (%),.
424,Florida,FL,1976,Annual Change (%),-1.88
425,Florida,FL,1977,Annual Change (%),4.35
426,Florida,FL,1978,Annual Change (%),10.72
427,Florida,FL,1979,Annual Change (%),12.99
428,Florida,FL,1980,Annual Change (%),11.87
429,Florida,FL,1981,Annual Change (%),5.56
430,Florida,FL,1982,Annual Change (%),-0.09
431,Florida,FL,1983,Annual Change (%),13.16
432,Florida,FL,1984,Annual Change (%),2.44
433,Florida,FL,1985,Annual Change (%),1.18
434,Florida,FL,1986,Annual Change (%),3.67
435,Florida,FL,1987,Annual Change (%),2.49
436,Florida,FL,1988,Annual Change (%),4.30
437,Florida,FL,1989,Annual Change (%),4.07
438,Florida,FL,1990,Annual Change (%),1.65
439,Florida,FL,1991,Annual Change (%),1.48
440,Florida,FL,1992,Annual Change (%),2.24
441,Florida,FL,1993,Annual Change (%),1.85
442,Florida,FL,1994,Annual Change (%),0.95
443,Florida,FL,1995,Annual Change (%),2.69
444,Florida,FL,1996,Annual Change (%),2.51
445,Florida,FL,1997,Annual Change (%),2.94
446,Florida,FL,1998,Annual Change (%),4.12
447,Florida,FL,1999,Annual Change (%),3.66
448,Florida,FL,2000,Annual Change (%),7.72
449,Florida,FL,2001,Annual Change (%),9.52
450,Florida,FL,2002,Annual Change (%),9.05
451,Florida,FL,2003,Annual Change (%),8.23
452,Florida,FL,2004,Annual Change (%),15.51
453,Florida,FL,2005,Annual Change (%),24.83
454,Florida,FL,2006,Annual Change (%),15.70
455,Florida,FL,2007,Annual Change (%),-2.17
456,Florida,FL,2008,Annual Change (%),-15.20
457,Florida,FL,2009,Annual Change (%),-17.69
458,Florida,FL,2010,Annual Change (%),-9.69
459,Florida,FL,2011,Annual Change (%),-6.88
460,Florida,FL,2012,Annual Change (%),-0.96
461,Florida,FL,2013,Annual Change (%),7.41
462,Florida,FL,2014,Annual Change (%),10.46
463,Florida,FL,2015,Annual Change (%),8.77
464,Florida,FL,2016,Annual Change (%),9.13
465,Florida,FL,2017,Annual Change (%),8.36
466,Florida,FL,2018,Annual Change (%),7.87
467,Florida,FL,2019,Annual Change (%),5.45
468,Florida,FL,2020,Annual Change (%),5.00
469,Florida,FL,2021,Annual Change (%),15.19
470,Georgia,GA,1975,Annual Change (%),.
471,Georgia,GA,1976,Annual Change (%),3.69
472,Georgia,GA,1977,Annual Change (%),3.24
473,Georgia,GA,1978,Annual Change (%),7.59
474,Georgia,GA,1979,Annual Change (%),10.00
475,Georgia,GA,1980,Annual Change (%),10.33
476,Georgia,GA,1981,Annual Change (%),8.60
477,Georgia,GA,1982,Annual Change (%),5.56
478,Georgia,GA,1983,Annual Change (%),2.86
479,Georgia,GA,1984,Annual Change (%),6.21
480,Georgia,GA,1985,Annual Change (%),4.95
481,Georgia,GA,1986,Annual Change (%),5.19
482,Georgia,GA,1987,Annual Change (%),4.40
483,Georgia,GA,1988,Annual Change (%),4.10
484,Georgia,GA,1989,Annual Change (%),2.06
485,Georgia,GA,1990,Annual Change (%),0.26
486,Georgia,GA,1991,Annual Change (%),0.49
487,Georgia,GA,1992,Annual Change (%),1.69
488,Georgia,GA,1993,Annual Change (%),1.81
489,Georgia,GA,1994,Annual Change (%),2.25
490,Georgia,GA,1995,Annual Change (%),3.86
491,Georgia,GA,1996,Annual Change (%),3.92
492,Georgia,GA,1997,Annual Change (%),4.37
493,Georgia,GA,1998,Annual Change (%),4.79
494,Georgia,GA,1999,Annual Change (%),5.45
495,Georgia,GA,2000,Annual Change (%),7.03
496,Georgia,GA,2001,Annual Change (%),6.02
497,Georgia,GA,2002,Annual Change (%),3.62
498,Georgia,GA,2003,Annual Change (%),2.08
499,Georgia,GA,2004,Annual Change (%),4.02
500,Georgia,GA,2005,Annual Change (%),5.29
501,Georgia,GA,2006,Annual Change (%),4.52
502,Georgia,GA,2007,Annual Change (%),2.42
503,Georgia,GA,2008,Annual Change (%),-2.04
504,Georgia,GA,2009,Annual Change (%),-4.98
505,Georgia,GA,2010,Annual Change (%),-8.27
506,Georgia,GA,2011,Annual Change (%),-7.39
507,Georgia,GA,2012,Annual Change (%),-5.00
508,Georgia,GA,2013,Annual Change (%),3.74
509,Georgia,GA,2014,Annual Change (%),7.64
510,Georgia,GA,2015,Annual Change (%),5.69
511,Georgia,GA,2016,Annual Change (%),5.98
512,Georgia,GA,2017,Annual Change (%),5.97
513,Georgia,GA,2018,Annual Change (%),7.34
514,Georgia,GA,2019,Annual Change (%),5.51
515,Georgia,GA,2020,Annual Change (%),3.68
516,Georgia,GA,2021,Annual Change (%),12.45
517,Hawaii,HI,1975,Annual Change (%),.
518,Hawaii,HI,1976,Annual Change (%),-12.86
519,Hawaii,HI,1977,Annual Change (%),6.99
520,Hawaii,HI,1978,Annual Change (%),11.78
521,Hawaii,HI,1979,Annual Change (%),25.88
522,Hawaii,HI,1980,Annual Change (%),21.13
523,Hawaii,HI,1981,Annual Change (%),-3.67
524,Hawaii,HI,1982,Annual Change (%),3.03
525,Hawaii,HI,1983,Annual Change (%),7.12
526,Hawaii,HI,1984,Annual Change (%),3.42
527,Hawaii,HI,1985,Annual Change (%),3.72
528,Hawaii,HI,1986,Annual Change (%),3.90
529,Hawaii,HI,1987,Annual Change (%),6.73
530,Hawaii,HI,1988,Annual Change (%),16.55
531,Hawaii,HI,1989,Annual Change (%),23.66
532,Hawaii,HI,1990,Annual Change (%),20.88
533,Hawaii,HI,1991,Annual Change (%),9.78
534,Hawaii,HI,1992,Annual Change (%),0.81
535,Hawaii,HI,1993,Annual Change (%),-0.06
536,Hawaii,HI,1994,Annual Change (%),-0.22
537,Hawaii,HI,1995,Annual Change (%),-1.81
538,Hawaii,HI,1996,Annual Change (%),-3.85
539,Hawaii,HI,1997,Annual Change (%),-7.73
540,Hawaii,HI,1998,Annual Change (%),-0.29
541,Hawaii,HI,1999,Annual Change (%),-0.41
542,Hawaii,HI,2000,Annual Change (%),3.15
543,Hawaii,HI,2001,Annual Change (%),7.36
544,Hawaii,HI,2002,Annual Change (%),6.70
545,Hawaii,HI,2003,Annual Change (%),9.08
546,Hawaii,HI,2004,Annual Change (%),19.72
547,Hawaii,HI,2005,Annual Change (%),25.36
548,Hawaii,HI,2006,Annual Change (%),14.32
549,Hawaii,HI,2007,Annual Change (%),1.99
550,Hawaii,HI,2008,Annual Change (%),-3.21
551,Hawaii,HI,2009,Annual Change (%),-10.04
