,id,recession,present
109,5003.0,0.78,2.15
110,5005.0,1.82,1.01
111,5007.0,2.15,1.01
112,5009.0,1.82,1.58
113,5011.0,1.19,1.01
114,5013.0,0.78,1.37
115,5015.0,2.15,2.15
116,5017.0,1.19,1.19
117,5019.0,0.78,1.37
118,5021.0,2.15,1.37
119,5023.0,2.61,1.01
120,5025.0,3.43,3.43
121,5027.0,1.19,3.43
122,5029.0,2.15,2.61
123,5031.0,1.58,1.01
124,5033.0,2.15,2.15
125,5035.0,2.61,1.37
126,5037.0,3.43,1.82
127,5039.0,0.78,1.82
128,5041.0,1.01,2.61
129,5043.0,2.61,1.01
130,5045.0,2.15,1.01
131,5047.0,2.15,1.82
132,5049.0,3.43,2.15
133,5051.0,2.15,2.15
134,5053.0,1.0,1.58
135,5055.0,1.82,1.58
136,5057.0,1.01,3.43
137,5059.0,2.15,1.82
138,5061.0,0.78,1.01
139,5063.0,1.01,1.58
140,5065.0,2.61,1.37
141,5067.0,0.78,1.01
142,5069.0,0.78,1.19
143,5071.0,1.58,1.19
144,5073.0,1.19,1.01
145,5075.0,1.82,1.82
146,5077.0,1.37,1.37
147,5079.0,1.82,1.19
148,5081.0,0.78,1.01
149,5083.0,1.37,1.82
150,5085.0,1.0,1.01
151,5087.0,2.61,2.15
152,5089.0,2.61,1.0
153,5091.0,2.15,1.37
154,5093.0,1.01,2.15
155,5095.0,1.58,1.58
156,5097.0,2.61,0.78
157,5099.0,1.82,1.37
158,5101.0,1.0,3.43
159,5103.0,2.15,1.01
160,5105.0,1.0,1.0
161,5107.0,1.37,1.01
162,5109.0,1.58,1.0
163,5111.0,2.61,1.82
164,5113.0,1.01,2.15
165,5115.0,1.37,1.58
166,5117.0,1.58,1.37
167,5119.0,1.19,1.19
168,5121.0,1.82,2.15
169,5123.0,1.01,1.01
170,5125.0,1.0,1.19
171,5127.0,1.58,1.19
172,5129.0,1.0,1.0
173,5131.0,1.01,2.61
174,5133.0,1.37,1.0
175,5135.0,1.0,1.01
176,5137.0,2.61,1.58
177,5139.0,1.01,2.15
178,5141.0,2.61,2.15
179,5143.0,1.58,1.01
180,5145.0,1.82,3.43
181,5147.0,1.19,1.37
182,5149.0,1.58,2.15
183,6001.0,3.43,2.15
184,6003.0,1.0,1.58
185,6005.0,3.43,1.82
186,6007.0,3.43,1.37
187,6009.0,1.0,3.43
188,6011.0,2.61,2.15
189,6013.0,1.0,1.0
190,6015.0,1.82,1.58
191,6017.0,1.0,3.43
192,6019.0,2.61,1.58
193,6021.0,3.43,1.0
194,6023.0,3.43,1.58
195,6025.0,3.43,2.61
196,6027.0,3.43,2.15
197,6029.0,3.43,1.58
198,6031.0,2.61,2.15
199,6033.0,1.0,1.82
200,6035.0,2.15,2.15
201,6037.0,3.43,3.43
202,6039.0,3.43,1.37
203,6041.0,1.0,1.82
204,6043.0,1.0,2.15
205,6045.0,3.43,3.43
206,6047.0,1.0,2.61
207,6049.0,3.43,2.15
208,6051.0,3.43,2.15
209,6053.0,3.43,2.61
210,6055.0,3.43,1.0
211,6057.0,1.0,2.15
212,6059.0,3.43,2.15
213,6061.0,1.0,3.43
214,6063.0,1.0,2.15
215,6065.0,1.0,3.43
216,6067.0,2.61,2.15
217,6069.0,1.0,3.43
218,6071.0,1.0,1.82
219,6073.0,3.43,1.0
220,6075.0,1.37,2.15
221,6077.0,1.0,2.15
222,6079.0,1.0,0.78
223,6081.0,3.43,2.61
224,6083.0,1.0,3.43
225,6085.0,2.15,1.19
226,6087.0,1.0,2.15
227,6089.0,3.43,1.01
228,6091.0,2.61,3.43
229,6093.0,3.43,2.15
230,6095.0,1.0,3.43
231,6097.0,1.0,2.61
232,6099.0,1.0,3.43
233,6101.0,1.0,2.61
234,6103.0,1.0,2.15
235,6105.0,2.61,2.61
236,6107.0,3.43,2.15
237,6109.0,1.0,1.0
238,6111.0,1.0,1.82
239,6113.0,2.61,3.43
240,6115.0,1.0,3.43
241,8001.0,3.43,1.58
242,8003.0,2.15,3.43
243,8005.0,2.61,2.15
244,8007.0,1.0,1.19
245,8009.0,0.78,1.82
246,8011.0,2.15,1.0
247,8013.0,2.15,1.37
248,8014.0,2.15,1.37
249,8015.0,3.43,1.37
250,8017.0,1.01,1.37
251,8019.0,1.0,2.15
252,8021.0,1.01,0.78
253,8023.0,1.58,3.43
254,8025.0,1.58,1.37
255,8027.0,1.0,2.61
256,8029.0,2.61,1.82
257,8031.0,1.19,1.0
258,8033.0,1.0,2.61
259,8035.0,1.0,1.01
260,8037.0,3.43,1.0
261,8039.0,1.0,3.43
262,8041.0,3.43,2.61
263,8043.0,3.43,1.0
264,8045.0,2.61,2.61
265,8047.0,2.15,2.61
266,8049.0,3.43,2.15
267,8051.0,3.43,1.01
268,8055.0,2.61,2.61
269,8057.0,2.15,2.61
270,8059.0,3.43,2.15
271,8061.0,2.61,3.43
272,8063.0,1.19,0.78
273,8065.0,1.0,2.61
274,8067.0,2.61,1.19
275,8069.0,3.43,0.78
276,8071.0,1.37,2.15
277,8073.0,1.37,3.43
278,8075.0,2.15,2.15
279,8077.0,2.61,2.15
280,8079.0,2.61,1.01
281,8081.0,1.82,1.37
282,8083.0,2.15,2.61
283,8085.0,3.43,0.78
284,8087.0,2.15,2.61
285,8089.0,1.58,2.15
286,8091.0,1.0,2.15
287,8093.0,1.0,1.58
288,8095.0,1.82,1.37
289,8097.0,3.43,1.58
290,8099.0,1.01,1.0
291,8101.0,2.61,3.43
292,8103.0,1.01,1.82
293,8105.0,1.37,0.78
294,8107.0,3.43,1.58
295,8109.0,1.0,1.19
296,8111.0,1.0,1.19
297,8113.0,1.82,2.15
298,8115.0,1.01,1.19
299,8117.0,3.43,0.78
300,8119.0,1.0,1.58
301,8121.0,3.43,2.61
302,8123.0,3.43,2.61
303,8125.0,1.82,1.0
304,9001.0,1.82,1.58
305,9003.0,1.19,3.43
306,9005.0,3.43,1.19
307,9007.0,2.61,1.82
308,9009.0,1.82,1.01
309,9011.0,1.82,3.43
310,9013.0,3.43,2.15
311,9015.0,3.43,1.37
312,10001.0,2.61,1.19
313,10003.0,1.58,2.61
314,10005.0,3.43,2.15
315,11001.0,0.78,2.61
316,12001.0,1.58,1.19
317,12003.0,3.43,3.43
318,12005.0,2.61,0.78
319,12007.0,2.61,1.01
320,12009.0,3.43,3.43
321,12011.0,3.43,2.15
322,12013.0,1.01,2.61
323,12015.0,1.0,2.15
324,12017.0,1.0,1.82
325,12019.0,1.0,3.43
326,12021.0,1.0,3.43
327,12023.0,2.15,3.43
328,12027.0,2.15,1.0
329,12029.0,1.82,2.61
330,12031.0,1.82,1.82
331,12033.0,2.15,1.37
332,12035.0,1.0,1.58
333,12037.0,1.0,1.19
334,12039.0,3.43,1.58
335,12041.0,1.0,1.0
336,12043.0,3.43,1.0
337,12045.0,1.0,1.37
338,12047.0,1.19,1.0
339,12049.0,2.61,1.58
340,12051.0,2.15,2.61
341,12053.0,1.0,0.78
342,12055.0,3.43,1.58
343,12057.0,2.15,1.37
344,12059.0,3.43,3.43
345,12061.0,1.0,2.61
346,12063.0,1.82,1.37
347,12065.0,1.0,1.0
348,12067.0,2.15,2.61
349,12069.0,1.0,1.82
350,12071.0,1.0,1.0
351,12073.0,1.58,1.58
352,12075.0,1.0,3.43
353,12077.0,1.19,2.15
354,12079.0,3.43,1.01
355,12081.0,1.0,3.43
356,12083.0,3.43,1.01
357,12085.0,1.0,2.15
358,12086.0,3.43,3.43
359,12087.0,1.0,2.61
360,12089.0,1.0,2.61
361,12091.0,3.43,1.37
362,12093.0,2.61,2.15
363,12095.0,2.15,1.0
364,12097.0,1.0,2.15
365,12099.0,3.43,1.82
366,12101.0,1.0,1.19
367,12103.0,2.61,3.43
368,12105.0,2.61,1.82
369,12107.0,2.15,1.0
370,12109.0,1.0,1.58
371,12111.0,1.0,2.15
372,12113.0,1.0,2.61
373,12115.0,1.0,1.0
374,12117.0,3.43,1.0
375,12119.0,1.0,1.0
376,12121.0,2.61,2.15
377,12123.0,1.37,2.15
378,12125.0,1.82,3.43
379,12127.0,1.0,2.15
380,12129.0,1.0,1.82
381,12131.0,1.0,1.58
382,12133.0,3.43,2.61
383,13001.0,1.58,1.0
384,13003.0,1.01,3.43
385,13005.0,1.82,2.15
386,13007.0,2.61,0.78
387,13009.0,1.37,2.61
388,13011.0,3.43,1.58
389,13013.0,1.0,1.82
390,13015.0,2.15,1.19
391,13017.0,1.01,2.61
392,13019.0,3.43,3.43
393,13021.0,1.19,1.82
394,13023.0,1.37,0.78
395,13025.0,1.0,3.43
396,13027.0,1.0,0.78
397,13029.0,1.0,2.61
398,13031.0,2.15,1.82
399,13033.0,1.37,2.15
400,13035.0,1.0,1.0
401,13037.0,1.01,1.82
402,13039.0,3.43,0.78
403,13043.0,2.15,1.82
404,13045.0,2.61,1.19
405,13047.0,1.0,3.43
406,13049.0,1.01,1.19
407,13051.0,1.82,1.82
408,13053.0,3.43,3.43
409,13055.0,1.58,2.61
410,13057.0,1.0,1.37
411,13059.0,1.19,1.58
412,13061.0,0.78,1.37
413,13063.0,1.82,1.0
414,13065.0,1.01,1.01
415,13067.0,2.61,3.43
416,13069.0,1.19,1.01
417,13071.0,1.58,1.82
418,13073.0,1.0,1.58
419,13075.0,2.61,1.01
420,13077.0,1.0,1.01
421,13079.0,1.0,1.0
422,13081.0,2.15,1.82
423,13083.0,3.43,3.43
424,13085.0,1.0,1.0
425,13087.0,2.61,1.37
426,13089.0,2.15,1.82
427,13091.0,1.19,1.0
428,13093.0,2.61,1.82
429,13095.0,1.01,1.58
430,13097.0,1.0,1.37
431,13099.0,1.19,1.19
432,13101.0,1.0,0.78
433,13103.0,1.0,2.61
434,13105.0,1.82,1.01
435,13107.0,2.15,1.19
436,13109.0,1.01,1.0
437,13111.0,1.0,2.61
438,13113.0,1.0,1.37
439,13115.0,1.58,1.37
440,13117.0,1.0,1.0
441,13119.0,2.61,3.43
442,13121.0,1.37,1.19
443,13123.0,1.0,3.43
444,13125.0,3.43,1.82
445,13127.0,1.82,0.78
446,13129.0,2.61,3.43
447,13131.0,3.43,3.43
448,13133.0,1.0,1.82
449,13135.0,2.61,1.37
450,13137.0,2.61,2.15
451,13139.0,2.15,2.15
452,13141.0,1.82,1.82
453,13143.0,2.15,1.58
454,13145.0,1.0,1.58
455,13147.0,2.61,3.43
456,13149.0,2.61,2.15
457,13151.0,1.0,1.0
458,13153.0,2.15,1.82
459,13155.0,3.43,2.61
460,13157.0,1.0,3.43
461,13159.0,1.0,2.15
462,13161.0,1.58,2.15
463,13163.0,1.37,1.82
464,13165.0,3.43,1.0
465,13167.0,1.82,1.58
466,13169.0,1.0,2.15
467,13171.0,1.0,1.82
468,13173.0,1.0,2.61
469,13175.0,1.37,1.0
470,13177.0,1.0,3.43
471,13179.0,2.61,1.0
472,13181.0,1.0,1.37
473,13183.0,1.0,1.0
474,13185.0,2.15,2.61
475,13187.0,1.0,3.43
476,13189.0,1.82,1.0
477,13191.0,1.0,1.58
478,13193.0,1.01,3.43
479,13195.0,1.0,1.58
480,13197.0,2.15,1.0
481,13199.0,3.43,1.58
482,13201.0,1.58,1.0
483,13205.0,1.58,3.43
484,13207.0,3.43,2.61
485,13209.0,2.61,1.58
486,13211.0,1.0,1.37
487,13213.0,1.82,3.43
488,13215.0,1.82,3.43
489,13217.0,1.0,2.61
490,13219.0,1.0,2.15
491,13221.0,1.0,1.37
492,13223.0,1.0,3.43
493,13225.0,2.15,3.43
494,13227.0,1.0,1.0
495,13229.0,3.43,1.0
496,13231.0,1.0,1.58
497,13233.0,2.15,1.0
498,13235.0,3.43,3.43
499,13237.0,1.0,1.0
500,13239.0,3.43,2.15
501,13241.0,3.43,2.15
502,13243.0,0.78,3.43
503,13245.0,1.19,0.78
504,13247.0,3.43,3.43
505,13249.0,1.37,1.01
506,13251.0,2.61,1.01
507,13253.0,3.43,2.15
508,13255.0,3.43,1.37
509,13257.0,2.61,2.15
510,13259.0,1.19,1.82
511,13261.0,1.82,2.61
512,13263.0,1.0,1.82
513,13265.0,1.37,0.78
514,13267.0,2.15,1.19
515,13269.0,0.78,1.0
516,13271.0,3.43,3.43
517,13273.0,3.43,2.61
518,13275.0,1.58,1.58
519,13277.0,1.58,2.15
520,13279.0,1.58,0.78
521,13281.0,3.43,1.37
522,13283.0,3.43,1.01
523,13285.0,1.37,1.37
524,13287.0,2.61,1.0
525,13289.0,1.0,2.15
526,13291.0,1.0,1.01
527,13293.0,3.43,1.01
528,13295.0,1.0,2.61
529,13297.0,1.0,2.61
530,13299.0,1.19,2.15
531,13301.0,3.43,2.61
532,13303.0,2.15,3.43
533,13305.0,1.58,1.01
534,13307.0,1.0,1.58
535,13309.0,0.78,1.58
536,13311.0,1.0,1.58
537,13313.0,1.19,1.01
538,13315.0,3.43,1.58
539,13317.0,2.61,2.15
540,13319.0,2.15,0.78
541,13321.0,2.61,1.0
542,15001.0,3.43,1.37
543,15003.0,2.61,1.01
544,15007.0,3.43,3.43
545,15009.0,3.43,2.61
546,16001.0,2.15,2.61
547,16003.0,1.0,2.15
548,16005.0,1.82,2.61
549,16007.0,3.43,1.82
550,16009.0,1.58,3.43
551,16011.0,1.82,2.15
552,16013.0,1.0,3.43
553,16015.0,1.0,1.82
554,16017.0,3.43,2.15
555,16019.0,2.15,3.43
556,16021.0,3.43,1.0
557,16023.0,0.78,3.43
558,16025.0,2.15,1.82
559,16027.0,3.43,3.43
560,16029.0,1.37,0.78
561,16031.0,1.37,0.78
562,16033.0,0.78,3.43
563,16035.0,2.61,1.01
564,16037.0,1.37,1.19
565,16039.0,1.0,0.78
566,16041.0,3.43,1.82
567,16043.0,1.0,2.15
568,16045.0,1.0,3.43
569,16047.0,1.82,1.0
570,16049.0,2.15,3.43
571,16051.0,1.0,1.0
572,16053.0,1.37,1.82
573,16055.0,3.43,2.15
574,16057.0,2.61,1.0
575,16059.0,1.58,1.19
576,16061.0,1.0,3.43
577,16063.0,3.43,2.15
578,16065.0,1.82,1.01
579,16067.0,1.82,2.61
580,16069.0,1.19,1.58
581,16071.0,2.61,1.82
582,16073.0,2.15,1.82
583,16075.0,3.43,1.82
584,16077.0,2.61,1.0
585,16079.0,1.82,2.61
586,16081.0,1.0,1.0
587,16083.0,1.82,1.19
588,16085.0,1.0,1.58
589,16087.0,1.82,1.0
590,17001.0,1.19,2.15
591,17003.0,1.37,3.43
592,17005.0,1.82,2.15
593,17007.0,3.43,1.01
594,17009.0,0.78,1.58
595,17011.0,1.37,2.15
596,17013.0,1.0,2.61
597,17015.0,2.61,0.78
598,17017.0,0.78,1.01
599,17019.0,1.37,2.61
600,17021.0,1.58,1.82
601,17023.0,2.61,1.19
602,17025.0,0.78,1.01
603,17027.0,2.15,1.37
604,17029.0,1.01,2.15
605,17031.0,1.58,0.78
606,17033.0,1.19,1.82
607,17035.0,1.82,0.78
608,17037.0,2.61,1.01
609,17039.0,1.58,0.78
610,17041.0,1.19,1.82
611,17043.0,1.82,2.15
612,17045.0,1.19,1.19
613,17047.0,1.19,1.19
614,17049.0,1.01,1.01
615,17051.0,1.82,1.01
616,17053.0,1.82,1.58
617,17055.0,1.82,0.78
618,17057.0,2.15,2.15
619,17059.0,1.58,1.01
620,17061.0,2.61,2.15
621,17063.0,2.15,1.82
622,17065.0,2.61,1.37
623,17067.0,1.82,2.61
624,17069.0,1.58,1.82
625,17071.0,1.0,1.58
626,17073.0,3.43,2.61
627,17075.0,2.15,1.58
628,17077.0,1.01,1.0
629,17079.0,1.82,3.43
630,17081.0,1.01,2.15
631,17083.0,1.0,0.78
632,17085.0,2.15,3.43
633,17087.0,2.61,0.78
634,17089.0,3.43,2.61
635,17091.0,1.82,2.61
636,17093.0,1.0,2.61
637,17095.0,1.37,1.82
638,17097.0,2.61,1.37
639,17099.0,1.37,1.0
640,17101.0,1.19,1.58
641,17103.0,1.58,1.19
642,17105.0,0.78,1.37
643,17107.0,1.58,2.15
644,17109.0,0.78,1.19
645,17111.0,1.0,1.19
646,17113.0,1.19,1.58
647,17115.0,1.19,1.19
648,17117.0,2.61,3.43
649,17119.0,2.61,1.19
650,17121.0,1.58,0.78
651,17123.0,2.61,2.61
652,17125.0,2.61,1.58
653,17127.0,0.78,1.37
654,17129.0,1.0,1.0
655,17131.0,1.0,2.15
656,17133.0,1.0,1.58
657,17135.0,2.15,1.0
658,17137.0,1.19,3.43
659,17139.0,1.19,1.0
660,17141.0,2.61,2.61
661,17143.0,1.19,1.01
662,17145.0,1.82,1.37
663,17147.0,1.0,2.61
664,17149.0,1.82,0.78
665,17151.0,3.43,1.58
666,17153.0,1.58,1.0
667,17155.0,1.01,2.61
668,17157.0,1.19,3.43
669,17159.0,1.82,1.37
670,17161.0,1.01,2.15
671,17163.0,2.15,1.19
672,17165.0,1.19,1.01
673,17167.0,0.78,1.01
674,17169.0,1.37,1.82
675,17171.0,1.37,1.58
676,17173.0,2.15,0.78
677,17175.0,1.82,3.43
678,17177.0,1.01,2.61
679,17179.0,1.37,1.58
680,17181.0,1.37,1.19
681,17183.0,1.37,1.01
682,17185.0,1.58,2.15
683,17187.0,1.01,1.37
684,17189.0,1.37,1.01
685,17191.0,1.19,1.82
686,17193.0,1.82,1.37
687,17195.0,1.82,1.01
688,17197.0,1.0,1.58
689,17199.0,1.37,1.58
690,17201.0,1.58,1.82
691,17203.0,2.61,2.61
692,18001.0,1.58,1.19
693,18003.0,1.58,1.01
694,18005.0,1.19,3.43
695,18007.0,1.0,1.19
696,18009.0,1.37,1.19
697,18011.0,1.0,1.01
698,18013.0,1.0,2.15
699,18015.0,3.43,1.82
700,18017.0,1.19,2.15
701,18019.0,1.82,1.0
702,18021.0,3.43,3.43
703,18023.0,1.58,1.19
704,18025.0,3.43,1.37
705,18027.0,1.58,2.15
706,18029.0,1.0,1.58
707,18031.0,1.82,1.0
708,18033.0,1.58,1.19
709,18035.0,1.58,2.61
710,18037.0,1.01,1.37
711,18039.0,1.01,1.37
712,18041.0,2.15,1.19
713,18043.0,2.15,0.78
714,18045.0,1.58,0.78
715,18047.0,1.0,2.61
716,18049.0,2.61,2.15
717,18051.0,1.01,2.61
718,18053.0,1.58,1.0
719,18055.0,2.61,1.0
720,18057.0,3.43,0.78
721,18059.0,1.0,1.19
722,18061.0,2.61,3.43
723,18063.0,3.43,2.15
724,18065.0,2.61,2.61
725,18067.0,1.19,2.61
726,18069.0,1.82,2.15
727,18071.0,1.58,2.15
728,18073.0,2.61,1.01
729,18075.0,1.01,1.19
730,18077.0,1.82,1.19
731,18079.0,1.82,1.82
732,18081.0,1.0,1.19
733,18083.0,1.19,1.82
734,18085.0,1.37,2.15
735,18087.0,2.15,2.61
736,18089.0,1.82,1.01
737,18091.0,1.82,1.19
738,18093.0,3.43,1.37
739,18095.0,2.61,1.58
740,18097.0,1.01,1.82
741,18099.0,1.37,1.82
742,18101.0,0.78,2.15
743,18103.0,2.61,0.78
744,18105.0,1.58,1.19
745,18107.0,1.58,0.78
746,18109.0,1.0,1.82
747,18111.0,3.43,1.19
748,18113.0,1.58,1.58
749,18115.0,2.61,1.0
750,18117.0,2.15,3.43
751,18119.0,3.43,1.82
752,18121.0,1.0,1.0
753,18123.0,1.37,1.37
754,18125.0,2.61,1.82
755,18127.0,2.61,2.61
756,18129.0,2.15,1.37
757,18131.0,3.43,2.15
758,18133.0,2.61,2.61
759,18135.0,2.61,1.82
760,18137.0,1.58,1.19
761,18139.0,1.0,2.15
762,18141.0,1.37,2.15
763,18143.0,2.61,1.58
764,18145.0,2.15,2.15
765,18147.0,1.37,1.19
766,18149.0,1.0,1.58
767,18151.0,2.15,1.58
768,18153.0,3.43,2.61
769,18155.0,2.15,3.43
770,18157.0,1.37,1.58
771,18159.0,3.43,1.19
772,18161.0,3.43,3.43
773,18163.0,1.01,1.19
774,18165.0,1.37,2.15
775,18167.0,1.19,1.0
776,18169.0,2.15,1.01
777,18171.0,3.43,1.01
778,18173.0,1.0,1.01
779,18175.0,3.43,1.37
780,18177.0,1.37,1.0
781,18179.0,2.61,3.43
782,18181.0,3.43,3.43
783,18183.0,2.61,1.37
784,19001.0,1.82,1.58
785,19003.0,3.43,1.82
786,19005.0,1.19,2.15
787,19007.0,1.58,1.37
788,19009.0,1.37,2.61
789,19011.0,1.0,1.19
790,19013.0,1.19,1.19
791,19015.0,2.15,2.61
792,19017.0,1.58,3.43
793,19019.0,3.43,1.01
794,19021.0,1.01,2.15
795,19023.0,1.0,1.82
796,19025.0,1.58,2.61
797,19027.0,1.19,0.78
798,19029.0,1.82,3.43
799,19031.0,3.43,1.37
800,19033.0,1.58,1.01
801,19035.0,0.78,0.78
802,19037.0,1.58,3.43
803,19039.0,1.82,1.01
804,19041.0,1.01,1.01
805,19043.0,1.82,1.58
806,19045.0,1.19,1.19
807,19047.0,1.19,1.19
808,19049.0,2.15,1.58
809,19051.0,3.43,1.58
810,19053.0,3.43,1.19
811,19055.0,1.82,1.58
812,19057.0,1.01,1.0
813,19059.0,1.82,0.78
814,19061.0,1.58,1.58
815,19063.0,1.01,1.01
816,19065.0,1.82,2.15
817,19067.0,2.15,1.19
818,19069.0,2.61,1.19
819,19071.0,1.58,1.37
820,19073.0,2.61,1.58
821,19075.0,2.61,1.19
822,19077.0,1.0,1.37
823,19079.0,1.37,1.58
824,19081.0,1.58,2.15
825,19083.0,1.82,3.43
826,19085.0,1.0,1.82
827,19087.0,1.01,1.58
828,19089.0,1.37,1.37
829,19091.0,1.37,2.61
830,19093.0,1.82,0.78
831,19095.0,0.78,1.19
832,19097.0,2.15,1.19
833,19099.0,2.61,1.01
834,19101.0,1.37,1.19
835,19103.0,1.37,2.61
836,19105.0,2.15,2.61
837,19107.0,2.15,1.01
838,19109.0,1.82,1.37
839,19111.0,1.01,2.15
840,19113.0,1.19,3.43
841,19115.0,2.61,1.82
842,19117.0,0.78,1.01
843,19119.0,1.82,1.19
844,19121.0,1.0,1.37
845,19123.0,1.58,1.37
846,19125.0,1.37,2.15
847,19127.0,1.19,1.0
848,19129.0,1.0,1.01
849,19131.0,1.01,1.37
850,19133.0,1.19,1.37
851,19135.0,0.78,2.61
852,19137.0,1.37,1.58
853,19139.0,1.19,1.37
854,19141.0,1.19,0.78
855,19143.0,2.15,1.19
856,19145.0,1.01,0.78
857,19147.0,1.01,1.58
858,19149.0,1.37,1.01
859,19151.0,1.58,1.19
860,19153.0,1.19,1.01
861,19155.0,1.58,1.19
862,19157.0,1.01,0.78
863,19159.0,1.37,1.01
864,19161.0,2.61,1.37
865,19163.0,1.37,1.01
866,19165.0,1.58,1.37
867,19167.0,1.01,1.37
868,19169.0,1.37,1.37
869,19171.0,3.43,0.78
870,19173.0,1.37,1.19
871,19175.0,1.58,1.01
872,19177.0,1.01,1.58
873,19179.0,1.01,2.15
874,19181.0,1.0,1.19
875,19183.0,2.61,1.58
876,19185.0,0.78,1.01
877,19187.0,1.19,1.0
878,19189.0,1.01,2.15
879,19191.0,1.01,1.82
880,19193.0,1.01,1.01
881,19195.0,1.82,1.37
882,19197.0,1.01,0.78
883,20001.0,1.01,1.01
884,20003.0,2.15,1.19
885,20005.0,1.01,0.78
886,20007.0,1.19,0.78
887,20009.0,0.78,1.82
888,20011.0,2.15,1.19
889,20013.0,1.01,0.78
890,20015.0,3.43,0.78
891,20017.0,1.0,1.58
892,20019.0,1.01,0.78
893,20021.0,1.82,3.43
894,20023.0,0.78,1.58
895,20025.0,1.58,1.82
896,20027.0,1.58,1.58
897,20029.0,1.58,0.78
898,20031.0,0.78,1.37
899,20033.0,1.58,1.82
900,20035.0,1.19,1.01
901,20037.0,1.82,0.78
902,20039.0,1.58,0.78
903,20041.0,1.58,1.01
904,20043.0,1.01,1.01
905,20045.0,2.15,1.19
906,20047.0,1.0,2.15
907,20049.0,0.78,1.58
908,20051.0,1.19,1.82
909,20053.0,1.19,1.58
910,20055.0,1.01,0.78
911,20057.0,1.01,1.19
912,20059.0,1.58,1.58
913,20061.0,1.58,1.19
914,20063.0,0.78,0.78
915,20065.0,1.01,1.37
916,20067.0,0.78,1.82
917,20069.0,0.78,0.78
918,20071.0,0.78,2.15
919,20073.0,1.19,1.19
920,20075.0,0.78,1.01
921,20077.0,1.01,2.61
922,20079.0,1.82,1.19
923,20081.0,0.78,0.78
924,20083.0,1.82,1.01
925,20085.0,1.82,1.37
926,20087.0,3.43,1.82
927,20089.0,0.78,0.78
928,20091.0,1.82,3.43
929,20093.0,1.19,2.61
930,20095.0,1.58,0.78
931,20097.0,1.82,1.37
